NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,2
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Sexual Harassment,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Physical fight,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,2
NI,4.781,2008,01600330,Physical attack  assault (non- sexu,Out-of-school suspension,5
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,3
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Physical attack  assault (non- sexu,Out-of-school suspension,4
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Physical fight,Out-of-school suspension,2
NI,4.781,2008,01600330,Physical fight,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Threat of physical attack,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Physical fight,Out-of-school suspension,2
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,2
NI,4.781,2008,01600330,Threat of physical attack,Out-of-school suspension,2
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,2
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Sexual Harassment,Out-of-school suspension,1
NI,4.781,2008,01600330,Physical attack  assault (non- sexu,Out-of-school suspension,2
NI,4.781,2008,01600330,Physical fight,Out-of-school suspension,4
NI,4.781,2008,01600330,Vandalism/Destruction of Property,Out-of-school suspension,1
NI,4.781,2008,01600330,Sexual Harassment,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Physical fight,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Physical attack  assault (non- sexu,Out-of-school suspension,4
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,1
NI,4.781,2008,01600330,Physical fight,Out-of-school suspension,3
NI,4.781,2008,01600330,Physical fight,Out-of-school suspension,1
NI,4.781,2008,01600330,Unassigned,Out-of-school suspension,2
